"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R1,R4,R3,R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";4;"R";;;
2;"D1,D4,D3,D2";"LED_D3.0mm";4;"LED";;;
3;"SW1";"SW_PUSH_6mm";1;"reset";;;
4;"H3,H2,H1";"MountingHole_3mm_Pad";3;"MountingHole_Pad";;;
5;"SW18,SW17,SW16,SW15,SW14,SW13,SW12,SW11,SW10,SW9,SW8,SW7,SW6,SW5,SW4,SW3";"SW_MX";16;"SW_Push";;;
6;"U1";"ProMicro";1;"ProMicro";;;
7;"SW2";"RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm";1;"Rotary_Encoder_Switch";;;
8;"R6,R5";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"10k";;;
